customer_id,first_name,last_name,city,state,signup_date,customer_segment
10001,Arjun,Rao,Hyderabad,Karnataka,2024-12-11,Premium
10002,Riya,Singh,Vijayawada,Tamil Nadu,2024-03-31,Premium
10003,Meera,Brown,Chennai,Andhra Pradesh,2021-11-28,Regular
10004,Ananya,Taylor,Vijayawada,Telangana,2025-05-13,Regular
10005,Ananya,Gupta,Delhi,Telangana,2025-05-08,Regular
10006,Olivia,Thomas,Chennai,Tamil Nadu,2021-03-07,Regular
10007,Arjun,Wilson,Pune,Delhi,2021-02-11,New
10008,Meera,Patel,Hyderabad,Andhra Pradesh,2022-01-27,Premium
10009,Sanjay,Walker,Vijayawada,Delhi,2024-06-24,Regular
10010,Arjun,Sharma,Mumbai,Maharashtra,2023-08-15,Regular
10011,Neha,Taylor,Mumbai,Andhra Pradesh,2023-04-01,New
10012,Sophia,Verma,Bengaluru,Karnataka,2022-10-27,New
10013,Aisha,Taylor,Mumbai,Rajasthan,2023-02-07,Premium
10014,Riya,Thomas,Mumbai,Tamil Nadu,2023-10-18,New
10015,Aisha,Taylor,Chennai,Tamil Nadu,2021-04-13,New
10016,Riya,Taylor,Jaipur,Rajasthan,2023-07-28,Regular
10017,Neha,Clark,Chennai,West Bengal,2021-12-20,Regular
10018,Rahul,Martin,Bengaluru,Maharashtra,2024-06-14,New
10019,Emma,Clark,Delhi,Tamil Nadu,2021-11-09,New
10020,Priya,Verma,Mumbai,Maharashtra,2021-04-24,Regular
10021,Neha,Singh,Pune,Andhra Pradesh,2022-11-27,Premium
10022,Kiran,Singh,Vijayawada,Karnataka,2022-12-06,Regular
10023,Vikram,Wilson,Hyderabad,Karnataka,2023-04-10,Regular
10024,Daniel,Brown,Delhi,Tamil Nadu,2024-10-08,New
10025,Riya,Reddy,Hyderabad,Maharashtra,2024-01-25,Regular
10026,Kavya,Singh,Hyderabad,Andhra Pradesh,2022-08-04,Regular
10027,Ananya,White,Hyderabad,Karnataka,2024-03-08,Regular
10028,Emma,Martin,Bengaluru,Andhra Pradesh,2023-03-18,Regular
10029,Neha,Thomas,Mumbai,Rajasthan,2021-12-25,New
10030,Ananya,Patel,Jaipur,Maharashtra,2021-02-04,New
10031,Priya,Reddy,Jaipur,Rajasthan,2021-01-07,Regular
10032,Sanjay,Gupta,Bengaluru,Rajasthan,2021-12-25,New
10033,Arjun,Lewis,Jaipur,Andhra Pradesh,2024-08-03,Regular
10034,Sneha,Brown,Kolkata,Maharashtra,2023-01-12,Regular
10035,Olivia,Thomas,Delhi,Tamil Nadu,2022-12-24,New
10036,Arjun,Mehta,Vijayawada,Andhra Pradesh,2022-10-01,Regular
10037,Olivia,Mehta,Pune,Maharashtra,2022-02-14,Regular
10038,Emma,Wilson,Chennai,Telangana,2024-02-18,Premium
10039,Aditya,White,Delhi,West Bengal,2021-01-21,New
10040,Kavya,Verma,Vijayawada,Tamil Nadu,2023-09-07,New
10041,Vikram,Smith,Kolkata,Rajasthan,2025-02-08,New
10042,Riya,Walker,Bengaluru,Andhra Pradesh,2024-11-09,New
10043,Aisha,Nair,Jaipur,Telangana,2022-08-14,Regular
10044,Kiran,Clark,Chennai,Rajasthan,2024-09-29,Regular
10045,Arjun,Brown,Visakhapatnam,Rajasthan,2022-01-16,New
10046,Sophia,Lewis,Mumbai,Andhra Pradesh,2022-01-21,Premium
10047,Ananya,Mehta,Hyderabad,Tamil Nadu,2022-07-04,New
10048,Olivia,Wilson,Jaipur,West Bengal,2021-01-29,Regular
10049,Meera,Rao,Delhi,Andhra Pradesh,2022-03-01,Premium
10050,Riya,Wilson,Chennai,Andhra Pradesh,2024-09-29,Regular
10051,Riya,Rao,Hyderabad,Maharashtra,2024-05-04,New
10052,Vikram,Wilson,Bengaluru,West Bengal,2022-06-11,Premium
10053,Kiran,Thomas,Bengaluru,Maharashtra,2022-05-15,Regular
10054,Priya,Verma,Jaipur,Tamil Nadu,2022-07-10,New
10055,Priya,Verma,Bengaluru,West Bengal,2021-07-10,New
10056,Aarav,Rao,Bengaluru,Maharashtra,2021-09-11,Premium
10057,Neha,Martin,Visakhapatnam,Karnataka,2025-05-08,New
10058,Vikram,Smith,Visakhapatnam,West Bengal,2024-01-14,Regular
10059,Aisha,Brown,Chennai,Tamil Nadu,2023-12-21,New
10060,Meera,Sharma,Kolkata,Delhi,2022-03-25,New
10061,Daniel,Kumar,Delhi,Tamil Nadu,2024-10-01,Premium
10062,Aisha,Sharma,Delhi,Rajasthan,2021-10-10,Premium
10063,Kiran,Lewis,Mumbai,Andhra Pradesh,2025-03-30,New
10064,Sophia,Lewis,Vijayawada,Maharashtra,2023-03-17,New
10065,Ananya,Reddy,Visakhapatnam,West Bengal,2022-06-14,Regular
10066,Rohan,Sharma,Vijayawada,Karnataka,2024-04-15,Regular
10067,Daniel,Thomas,Jaipur,Rajasthan,2022-10-30,Regular
10068,Kiran,Brown,Bengaluru,Karnataka,2022-03-08,New
10069,Arjun,Rao,Kolkata,Andhra Pradesh,2023-12-30,Premium
10070,Priya,Wilson,Jaipur,Andhra Pradesh,2024-03-01,New
10071,Riya,Singh,Delhi,Karnataka,2023-08-24,New
10072,Vikram,Patel,Jaipur,Telangana,2023-01-10,New
10073,Priya,Nair,Mumbai,West Bengal,2022-06-11,New
10074,Rahul,Lewis,Visakhapatnam,Andhra Pradesh,2022-10-09,Regular
10075,Meera,Thomas,Jaipur,West Bengal,2024-10-31,New
10076,Priya,Patel,Kolkata,Telangana,2022-07-30,Regular
10077,Rohan,Smith,Vijayawada,West Bengal,2025-03-28,Regular
10078,Sanjay,Lewis,Delhi,Maharashtra,2021-08-21,New
10079,Sneha,White,Mumbai,Rajasthan,2021-09-18,Premium
10080,Meera,Thomas,Delhi,Andhra Pradesh,2022-06-17,Regular
10081,Daniel,Kumar,Jaipur,Andhra Pradesh,2021-01-05,New
10082,Ananya,Singh,Hyderabad,Maharashtra,2024-11-07,New
10083,Vikram,Singh,Chennai,Tamil Nadu,2022-06-29,Regular
10084,Emma,Patel,Pune,Andhra Pradesh,2021-06-13,Regular
10085,Kavya,Patel,Mumbai,Telangana,2023-09-17,Regular
10086,Aisha,Rao,Kolkata,Telangana,2025-03-14,Regular
10087,Arjun,Smith,Mumbai,Telangana,2025-05-09,New
10088,Rohan,Nair,Kolkata,Delhi,2021-06-21,Premium
10089,Riya,Verma,Bengaluru,Telangana,2024-06-22,New
10090,Emma,Singh,Mumbai,Delhi,2022-08-03,New
10091,Ananya,Patel,Kolkata,Karnataka,2024-08-30,Regular
10092,Emma,White,Pune,Rajasthan,2023-08-29,New
10093,Emma,Smith,Vijayawada,Maharashtra,2024-03-16,Regular
10094,Kiran,Singh,Kolkata,Telangana,2024-09-02,New
10095,Olivia,Clark,Mumbai,West Bengal,2024-12-03,Regular
10096,Aditya,Clark,Pune,Tamil Nadu,2021-08-18,Regular
10097,Sanjay,White,Jaipur,Tamil Nadu,2024-03-04,Regular
10098,Meera,Patel,Jaipur,West Bengal,2021-08-14,Regular
10099,Kavya,Wilson,Hyderabad,Rajasthan,2025-02-19,New
10100,Rahul,White,Vijayawada,Rajasthan,2023-10-03,Regular
10101,Emma,Clark,Pune,Maharashtra,2021-11-05,Regular
10102,Vikram,Singh,Hyderabad,Andhra Pradesh,2022-04-14,Regular
10103,Emma,Lewis,Kolkata,Karnataka,2024-12-04,New
10104,Aarav,Verma,Hyderabad,Andhra Pradesh,2023-10-29,New
10105,Riya,Mehta,Mumbai,Rajasthan,2022-01-02,Regular
10106,Riya,Smith,Kolkata,Delhi,2024-08-05,Regular
10107,Riya,Thomas,Visakhapatnam,Delhi,2024-02-24,Regular
10108,Meera,Kumar,Pune,Delhi,2021-05-03,Premium
10109,Priya,Brown,Visakhapatnam,Telangana,2022-03-30,Regular
10110,Aisha,Clark,Visakhapatnam,Andhra Pradesh,2024-09-13,Regular
10111,Aditya,Brown,Pune,West Bengal,2022-07-16,Regular
10112,Riya,Gupta,Bengaluru,Andhra Pradesh,2021-03-02,New
10113,Sneha,Reddy,Kolkata,Telangana,2023-08-25,Regular
10114,Priya,Brown,Hyderabad,Andhra Pradesh,2024-12-09,Regular
10115,Neha,Martin,Visakhapatnam,Tamil Nadu,2023-06-10,New
10116,Sneha,Brown,Mumbai,Andhra Pradesh,2025-04-10,New
10117,Aarav,White,Vijayawada,Rajasthan,2021-07-02,Regular
10118,Rahul,Wilson,Vijayawada,Rajasthan,2023-12-04,Regular
10119,Sanjay,Brown,Pune,Rajasthan,2023-11-06,New
10120,Rahul,Reddy,Jaipur,Telangana,2025-04-24,New
10121,Ananya,Smith,Vijayawada,Tamil Nadu,2023-04-14,New
